Year,MEIv2MeanDecToMar,MEIv2MeanMarToJun,MEIv2MeanJunToSep,MEIv2MeanSepToDec
1950,NA,NA,NA,NA
1951,NA,NA,NA,NA
1952,NA,NA,NA,NA
1953,NA,NA,NA,NA
1954,NA,NA,NA,NA
1955,NA,NA,NA,NA
1956,NA,NA,NA,NA
1957,NA,NA,NA,NA
1958,NA,NA,NA,NA
1959,NA,NA,NA,NA
1960,NA,NA,NA,NA
1961,NA,NA,NA,NA
1962,NA,NA,NA,NA
1963,NA,NA,NA,NA
1964,NA,NA,NA,NA
1965,NA,NA,NA,NA
1966,NA,NA,NA,NA
1967,NA,NA,NA,NA
1968,NA,NA,NA,NA
1969,NA,NA,NA,NA
1970,NA,NA,NA,NA
1971,NA,NA,NA,NA
1972,NA,NA,NA,NA
1973,NA,NA,NA,NA
1974,NA,NA,NA,NA
1975,NA,NA,NA,NA
1976,NA,NA,NA,NA
1977,NA,NA,NA,NA
1978,NA,NA,NA,NA
1979,0.217,0.217,0.217,0.217
1980,0.317,0.317,0.317,0.317
1981,-0.08,-0.08,-0.08,-0.08
1982,-0.38,-0.38,-0.38,-0.38
1983,2.663,2.663,2.663,2.663
1984,-0.377,-0.377,-0.377,-0.377
1985,-0.477,-0.477,-0.477,-0.477
1986,-0.35,-0.35,-0.35,-0.35
1987,1.177,1.177,1.177,1.177
1988,0.363,0.363,0.363,0.363
1989,-1.117,-1.117,-1.117,-1.117
1990,0.383,0.383,0.383,0.383
1991,0.15,0.15,0.15,0.15
1992,1.67,1.67,1.67,1.67
1993,0.847,0.847,0.847,0.847
1994,-0.12,-0.12,-0.12,-0.12
1995,0.463,0.463,0.463,0.463
1996,-0.76,-0.76,-0.76,-0.76
1997,-0.557,-0.557,-0.557,-0.557
1998,2.31,2.31,2.31,2.31
1999,-1.183,-1.183,-1.183,-1.183
2000,-1.297,-1.297,-1.297,-1.297
2001,-0.827,-0.827,-0.827,-0.827
2002,-0.13,-0.13,-0.13,-0.13
2003,0.65,0.65,0.65,0.65
2004,-0.107,-0.107,-0.107,-0.107
2005,0.5,0.5,0.5,0.5
2006,-0.6,-0.6,-0.6,-0.6
2007,0.263,0.263,0.263,0.263
2008,-1.293,-1.293,-1.293,-1.293
2009,-0.923,-0.923,-0.923,-0.923
2010,1.177,1.177,1.177,1.177
2011,-1.75,-1.75,-1.75,-1.75
2012,-0.78,-0.78,-0.78,-0.78
2013,-0.087,-0.087,-0.087,-0.087
2014,-0.337,-0.337,-0.337,-0.337
2015,0.137,0.137,0.137,0.137
2016,1.693,1.693,1.693,1.693
2017,-0.463,-0.463,-0.463,-0.463
2018,-0.753,-0.753,-0.753,-0.753
2019,0.46,0.46,0.46,0.46
2020,0.25,0.25,0.25,0.25
2021,-0.98,-0.98,-0.98,-0.98
2022,-1.093,-1.093,-1.093,-1.093
2023,-0.923,-0.923,-0.923,-0.923
